,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
375,Chernyshevskiy,RU,1571979931,63.01,112.47,22.8,62,7,9.17
376,Vilhena,BR,1571979931,-12.74,-60.15,71.24,92,98,1.45
377,Muros,ES,1571979931,42.77,-9.06,64.0,82,90,11.41
378,Iwanai,JP,1571979932,42.97,140.51,53.76,74,100,9.26
379,Meiktila,MM,1571979932,20.88,95.86,88.63,58,4,5.19
380,Samarai,PG,1571979932,-10.62,150.67,80.74,76,52,8.16
381,Guadalupe y Calvo,MX,1571979932,26.09,-106.96,51.22,54,0,7.18
382,Umm Bab,QA,1571979932,25.21,50.81,82.4,78,20,3.36
383,Derzhavinsk,KZ,1571979933,51.1,66.31,48.42,75,56,5.75
384,Ozernovskiy,RU,1571979933,51.5,156.52,37.76,74,80,9.28
385,Shenjiamen,CN,1571979933,29.96,122.3,67.86,75,39,14.52
386,Amahai,ID,1571979933,-3.31,129.0,81.72,77,63,9.33
387,Zhezkazgan,KZ,1571979934,47.8,67.71,42.8,56,75,6.71
388,Saint-Georges,CA,1571979934,46.12,-70.67,43.0,100,80,8.99
389,Severo-Kurilsk,RU,1571979934,50.68,156.12,33.62,81,59,5.95
390,Beitbridge,ZA,1571979934,-22.21,29.99,83.68,51,30,14.97
391,Salihorsk,BY,1571979935,52.79,27.54,47.91,97,61,8.63
392,Maceio,BR,1571979935,-9.67,-35.74,71.6,88,100,2.24
393,Male,UA,1571979935,50.74,33.7,49.32,86,0,3.96
394,Ous,RU,1571979935,60.91,61.52,36.19,76,100,7.18
395,Kamenka,MD,1571979935,48.03,28.7,46.0,95,0,1.99
396,Utete,TZ,1571979936,-7.99,38.76,82.69,75,2,9.01
397,Namibe,AO,1571979936,-15.19,12.15,70.66,71,94,10.36
398,Pak Chong,TH,1571979936,14.71,101.42,87.01,44,15,6.13
399,Anta,PE,1571979936,-13.47,-72.15,51.8,53,68,2.24
400,Anchorage,US,1571979937,61.22,-149.89,44.01,93,90,3.36
401,Kendari,ID,1571979937,-3.99,122.52,89.04,56,69,7.07
402,Kamaishi,JP,1571979937,39.28,141.86,60.8,63,75,1.12
403,Kirakira,SB,1571979937,-10.46,161.92,81.45,76,41,10.94
404,Inhambane,MZ,1571979864,-23.87,35.38,78.8,94,75,7.49
405,Uvat,RU,1571979938,59.14,68.9,31.73,72,58,9.46
406,Zambezi,ZM,1571979938,-13.55,23.12,75.42,62,87,4.14
407,Pastos Bons,BR,1571979938,-6.6,-44.09,73.53,76,0,1.45
408,Duderstadt,DE,1571979938,51.51,10.26,57.99,100,98,1.01
409,Isangel,VU,1571979939,-19.55,169.27,77.0,65,75,17.22
410,Taoudenni,ML,1571979939,22.68,-3.98,80.1,26,21,10.11
411,Haines Junction,CA,1571979939,60.75,-137.51,23.7,96,78,6.96
412,Fayaoue,NC,1571979940,-20.65,166.53,72.03,71,21,20.07
413,Zheleznodorozhnyy,RU,1571979940,55.75,38.0,48.2,87,75,2.24
414,Never,RU,1571979940,53.98,124.16,29.28,61,0,4.29
415,Bang Saphan,TH,1571979940,11.21,99.51,91.4,63,40,8.05
416,Dongsheng,CN,1571979940,29.72,112.52,54.3,80,100,14.14
417,Micheweni,TZ,1571979941,-4.97,39.83,80.8,84,49,12.17
418,Dunedin,NZ,1571979689,-45.87,170.5,53.01,61,100,15.01
419,Manggar,ID,1571979941,-2.88,108.27,82.53,73,83,11.1
420,Ust-Tsilma,RU,1571979941,65.44,52.15,28.53,95,100,2.17
421,Gidam,IN,1571979942,18.98,81.4,82.92,70,78,1.48
422,Sibolga,ID,1571979942,1.74,98.78,81.27,82,61,4.63
423,Arman,RU,1571979942,59.7,150.17,32.22,95,100,9.82
424,Turayf,SA,1571979942,31.68,38.65,57.2,100,40,18.34
425,Conceicao da Barra,BR,1571979942,-18.59,-39.73,76.86,86,100,10.71
426,Pio XII,BR,1571979943,-3.89,-45.17,74.59,95,74,3.62
427,Isoka,ZM,1571979943,-10.15,32.64,77.9,47,1,7.74
428,Huarmey,PE,1571979943,-10.07,-78.15,60.17,85,97,1.5
429,Libourne,FR,1571979943,44.91,-0.24,55.0,100,90,5.82
430,Skegness,GB,1571979944,53.14,0.34,48.0,93,92,6.93
431,Tazovskiy,RU,1571979944,67.47,78.7,23.49,93,100,16.37
432,Jamsa,FI,1571979944,61.86,25.19,48.2,87,97,9.17
433,Nador,MA,1571979944,35.17,-2.93,53.6,81,20,2.24
434,Lompoc,US,1571979945,34.64,-120.46,66.2,23,1,4.7
435,Altay,CN,1571979945,47.83,88.13,28.02,76,100,3.89
436,Lasa,CY,1571979945,34.92,32.53,71.6,68,20,17.22
437,Burnie,AU,1571979945,-41.05,145.91,62.01,42,57,15.99
438,Gambela,ET,1571979946,8.25,34.59,76.3,76,0,6.06
439,Podor,MR,1571979946,16.65,-14.96,84.43,54,99,7.52
440,Faya,SA,1571979946,18.39,42.45,59.0,67,0,5.82
441,Whitehorse,CA,1571979722,60.72,-135.06,32.0,84,20,12.75
442,General Roca,AR,1571979947,-39.03,-67.58,64.4,20,16,6.93
443,Mancora,PE,1571979947,-4.1,-81.05,70.2,73,97,10.87
444,Acapulco,MX,1571979947,16.86,-99.88,78.8,88,75,5.82
445,Culebra,PA,1571979947,9.3,-82.53,75.99,94,100,3.89
446,Chitipa,MW,1571979947,-9.7,33.27,74.01,61,4,5.99
447,Quesnel,CA,1571979912,52.98,-122.49,46.4,87,90,12.75
448,Calabozo,VE,1571979948,8.92,-67.43,72.01,96,100,4.07
449,Sooke,CA,1571979948,48.37,-123.73,54.0,100,1,2.71
450,Xichang,CN,1571979949,27.88,102.25,45.23,92,100,4.79
451,Nizwa,OM,1571979949,22.93,57.53,83.26,20,0,3.27
452,Hirara,JP,1571979949,24.8,125.28,80.6,57,40,9.17
453,Ferrol,ES,1571979949,43.48,-8.23,61.0,77,75,2.24
454,Pakxan,LA,1571979949,18.39,103.66,89.46,48,4,3.27
455,Syracuse,US,1571979929,43.05,-76.15,48.2,100,90,3.0
456,Aklavik,CA,1571979950,68.22,-135.01,17.6,85,90,11.41
457,Formosa,BR,1571979950,-15.55,-47.33,65.3,90,13,1.74
458,Ambatondrazaka,MG,1571979950,-17.82,48.43,80.44,30,17,5.32
459,Teacapan,MX,1571979950,22.54,-105.74,75.25,92,0,1.92
460,Marrakesh,MA,1571979951,31.63,-7.99,51.8,40,7,4.7
461,Omboue,GA,1571979951,-1.57,9.26,75.45,95,100,3.36
462,Bolobo,CD,1571979951,-2.17,16.23,76.1,85,23,2.53
463,Kamiiso,JP,1571979951,41.82,140.65,60.8,63,75,19.46
464,Waddan,LY,1571979951,29.16,16.14,70.45,35,0,4.29
465,Yar-Sale,RU,1571979952,66.83,70.83,19.87,83,39,15.7
466,Prince Albert,CA,1571979699,53.2,-105.75,39.2,69,75,6.93
467,Ulaanbaatar,MN,1571979822,47.92,106.92,33.8,34,7,2.24
468,Moulins,FR,1571979750,46.57,3.33,53.6,87,90,2.24
469,Tuatapere,NZ,1571979952,-46.13,167.69,50.0,78,98,8.99
470,Noumea,NC,1571979952,-22.28,166.46,75.2,44,75,26.4
471,Ulundi,ZA,1571979953,-28.29,31.43,88.02,35,4,4.83
472,Sijunjung,ID,1571979953,-0.69,100.95,83.3,68,64,2.98
473,San Vicente,EC,1571979953,-0.59,-80.41,71.6,88,90,6.93
474,Khiri Mat,TH,1571979953,16.83,99.8,89.6,83,40,4.7
475,Igarka,RU,1571979954,67.47,86.57,22.77,94,100,15.19
476,Boa Vista,BR,1571979954,2.82,-60.67,78.8,83,79,5.82
477,Laurel,US,1571979954,39.1,-76.85,55.99,87,1,4.72
478,San Carlos,NI,1571979954,11.12,-84.78,73.99,1,100,3.29
479,Demirci,TR,1571979954,39.05,28.66,66.99,91,4,8.01
480,Jinchang,CN,1571979955,38.52,102.19,44.4,15,100,4.38
481,Puerto Escondido,MX,1571979955,15.86,-97.07,75.2,69,40,4.7
482,Pyu,MM,1571979955,18.48,96.43,88.47,68,0,3.69
483,Katyuzhanka,UA,1571979955,50.81,30.14,50.0,100,90,4.47
484,Loa Janan,ID,1571979956,-0.58,117.09,90.61,51,99,3.2
485,San Quintin,PH,1571979956,17.54,120.52,84.9,69,8,8.12
486,Sobolevo,RU,1571979956,54.43,31.9,41.4,91,15,6.93
487,Erenhot,CN,1571979956,43.65,111.97,39.13,43,0,11.34
488,Mount Gambier,AU,1571979957,-37.83,140.78,53.6,71,75,21.92
489,Hambantota,LK,1571979957,6.12,81.12,82.4,83,75,2.24
490,Ishigaki,JP,1571979957,24.34,124.16,80.6,57,20,12.75
491,Gejiu,CN,1571979875,23.36,103.16,70.63,70,82,6.71
492,Aripuana,BR,1571979957,-9.17,-60.63,72.79,85,42,1.25
493,Hobyo,SO,1571979958,5.35,48.53,84.02,65,23,5.73
494,Bell Ville,AR,1571979958,-32.63,-62.69,60.01,93,44,5.99
495,Puerto Leguizamo,CO,1571979958,-0.19,-74.78,71.15,99,77,2.19
496,Tiznit,MA,1571979958,29.7,-9.73,65.14,18,97,10.67
497,Constitucion,MX,1571979959,23.99,-104.67,62.01,64,92,14.0
498,Nantucket,US,1571979788,41.28,-70.1,57.99,76,1,4.7
499,Mandalgovi,MN,1571979959,45.76,106.27,40.21,23,0,13.49
500,Lagoa,PT,1571979959,37.14,-8.45,57.99,93,91,4.7
501,Cedar City,US,1571979959,37.68,-113.06,37.0,40,1,6.93
502,Yenotayevka,RU,1571979960,47.24,47.04,56.23,47,0,5.66
503,Tabory,PL,1571979960,53.89,19.53,53.01,93,64,7.85
504,Sinop,TR,1571979960,42.03,35.15,50.0,93,40,5.82
505,Salalah,OM,1571979960,17.01,54.1,80.6,44,27,1.12
506,Worthington,US,1571979961,43.62,-95.6,34.0,70,1,5.82
507,Somerset East,ZA,1571979962,-32.72,25.59,65.89,30,100,13.22
508,Aksarka,RU,1571979962,66.56,67.8,20.79,85,98,13.27
509,Evreux,FR,1571979962,49.02,1.15,51.01,93,97,9.17
510,Sakaiminato,JP,1571979962,35.55,133.23,69.8,73,75,3.36
511,Sao Joao Batista,BR,1571979963,-3.13,-58.38,74.05,91,60,3.47
512,Harqalah,SY,1571979963,35.96,38.95,71.13,42,85,7.61
513,Kijang,KR,1571979963,35.24,129.21,75.2,50,40,9.17
514,Kawalu,ID,1571979963,-7.38,108.21,88.12,43,84,10.71
515,Lewistown,US,1571979964,40.39,-90.15,45.0,80,90,4.7
516,Elizabeth City,US,1571979964,36.3,-76.22,62.6,100,1,4.65
517,Baykit,RU,1571979964,61.68,96.39,33.24,77,99,8.21
518,Somerset,US,1571979965,41.77,-71.13,57.0,76,0,12.75
519,San Lorenzo,HN,1571979965,13.43,-87.45,73.47,98,100,1.57
520,Sioux Lookout,CA,1571979965,50.1,-91.92,33.8,69,90,8.05
521,Londrina,BR,1571979965,-23.31,-51.16,73.4,53,0,3.13
522,Mungaa,TZ,1571979966,-4.97,34.86,70.52,65,98,11.03
523,Kieta,PG,1571979966,-6.22,155.63,84.34,70,75,10.71
524,Iberia,PE,1571979966,-11.41,-69.49,72.1,86,72,1.23
525,Araouane,ML,1571979967,18.9,-3.53,82.45,34,0,12.19
526,Monroe,US,1571979745,41.91,-83.4,50.0,87,1,3.36
527,Kokopo,PG,1571979967,-4.34,152.27,83.12,79,68,19.46
528,Narsaq,GL,1571979967,60.91,-46.05,32.0,69,75,2.24
529,Vostok,RU,1571979967,46.45,135.83,49.91,69,98,6.98
530,Mbumi,TZ,1571979968,-7.91,39.21,82.69,75,2,9.01
531,Puertollano,ES,1571979968,38.69,-4.11,48.0,87,15,2.04
532,Rundu,NA,1571979968,-17.91,19.77,78.8,47,80,8.05
533,Zharkent,KZ,1571979968,44.17,80.0,60.17,21,37,4.54
534,Fallon,US,1571979968,46.84,-105.12,35.6,69,1,9.17
535,Novaya Ladoga,RU,1571979969,60.11,32.31,41.0,99,90,9.48
